AUC,Accuracy,Precision,Recall,F1,True Negative,False Positive,False Negative,True Positive,Source
0.8380477392977392,0.8074179743223966,0.652605459057072,0.4981060606060606,0.5649838882921591,1435,140,265,263,SVM
0.842305796055796,0.8074179743223966,0.6413793103448275,0.5284090909090909,0.5794392523364486,1419,156,249,279,Loggistic Regression
0.8437361712361712,0.8055159296243461,0.6537467700258398,0.4791666666666667,0.5530054644808744,1441,134,275,253,Decision Forest
